TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHA,CHA vs. DEN,02/11/2023,L,240,105,40,85,47.1,8,32,25.0,17,29,58.6,5,32,37,25,11,8,14,18,-14
SAS,SAS @ ATL,02/11/2023,L,240,106,40,94,42.6,11,37,29.7,15,17,88.2,14,35,49,25,9,5,20,17,-19
CLE,CLE vs. CHI,02/11/2023,W,240,97,36,86,41.9,9,35,25.7,16,19,84.2,10,29,39,26,9,4,13,15,8
ATL,ATL vs. SAS,02/11/2023,W,240,125,50,103,48.5,10,26,38.5,15,19,78.9,14,34,48,29,9,6,10,10,19
IND,IND @ WAS,02/11/2023,L,240,113,43,95,45.3,14,40,35.0,13,17,76.5,17,16,33,27,8,3,8,18,-14
WAS,WAS vs. IND,02/11/2023,W,240,127,48,75,64.0,12,26,46.2,19,22,86.4,8,32,40,32,5,7,18,16,14
DEN,DEN @ CHA,02/11/2023,W,240,119,50,99,50.5,5,23,21.7,14,17,82.4,14,37,51,35,7,5,14,20,14
MIA,MIA @ ORL,02/11/2023,W,265,107,37,85,43.5,12,39,30.8,21,23,91.3,11,35,46,24,7,6,20,22,4
IND,IND vs. PHX,02/10/2023,L,240,104,36,85,42.4,11,39,28.2,21,28,75.0,11,27,38,23,9,3,15,16,-13
UTA,UTA @ TOR,02/10/2023,W,240,122,47,87,54.0,6,24,25.0,22,29,75.9,9,37,46,31,6,6,17,20,6
TOR,TOR vs. UTA,02/10/2023,L,240,116,41,91,45.1,12,34,35.3,22,30,73.3,9,31,40,28,11,3,13,30,-6
DET,DET vs. SAS,02/10/2023,W,290,138,46,107,43.0,7,37,18.9,39,49,79.6,21,41,62,29,6,5,16,29,7
PHX,PHX @ IND,02/10/2023,W,240,117,43,93,46.2,10,33,30.3,21,24,87.5,19,34,53,25,13,2,17,24,13
PHI,PHI vs. NYK,02/10/2023,W,240,119,44,84,52.4,14,38,36.8,17,22,77.3,6,34,40,27,8,2,8,15,11
SAS,SAS @ DET,02/10/2023,L,290,131,45,107,42.1,14,42,33.3,27,34,79.4,13,38,51,21,7,3,19,32,-7
LAC,LAC vs. MIL,02/10/2023,L,240,106,42,85,49.4,11,33,33.3,11,14,78.6,3,32,35,17,5,7,10,12,-13
MIL,MIL @ LAC,02/10/2023,W,240,119,45,90,50.0,17,39,43.6,12,16,75.0,9,40,49,28,8,4,11,13,13
NYK,NYK @ PHI,02/10/2023,L,240,108,43,81,53.1,11,32,34.4,11,16,68.8,4,31,35,23,1,5,12,17,-11
MEM,MEM vs. MIN,02/10/2023,W,240,128,49,84,58.3,10,25,40.0,20,27,74.1,9,35,44,27,12,6,19,19,21
OKC,OKC @ POR,02/10/2023,W,240,138,47,83,56.6,12,24,50.0,32,35,91.4,10,19,29,29,9,3,11,26,9
POR,POR vs. OKC,02/10/2023,L,240,129,42,76,55.3,16,40,40.0,29,31,93.5,9,23,32,29,3,5,20,27,-9
SAC,SAC vs. DAL,02/10/2023,L,240,114,39,72,54.2,9,27,33.3,27,32,84.4,5,33,38,21,2,4,14,19,-8
DAL,DAL @ SAC,02/10/2023,W,240,122,43,88,48.9,18,43,41.9,18,19,94.7,11,28,39,34,4,0,12,19,8
CLE,CLE @ NOP,02/10/2023,W,240,118,48,85,56.5,10,28,35.7,12,15,80.0,12,29,41,28,9,5,14,22,11
MIN,MIN @ MEM,02/10/2023,L,240,107,41,88,46.6,15,37,40.5,10,12,83.3,7,28,35,25,7,4,18,20,-21
HOU,HOU @ MIA,02/10/2023,L,240,95,35,84,41.7,7,30,23.3,18,24,75.0,10,37,47,23,11,4,18,21,-2
NOP,NOP vs. CLE,02/10/2023,L,240,107,39,82,47.6,9,24,37.5,20,25,80.0,11,23,34,25,8,3,14,18,-11
CHA,CHA @ BOS,02/10/2023,L,240,116,45,93,48.4,8,23,34.8,18,26,69.2,11,36,47,26,9,6,13,18,-11
BOS,BOS vs. CHA,02/10/2023,W,240,127,44,89,49.4,25,55,45.5,14,17,82.4,5,38,43,34,7,7,15,22,11
MIA,MIA vs. HOU,02/10/2023,W,240,97,32,77,41.6,12,38,31.6,21,22,95.5,6,34,40,21,11,6,17,23,2
